,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
NUCB2,78.5,80.0,116.0,91.5,21.230873745562146
NUCKS1,74.0,107.0,133.0,104.66666666666667,29.56912804486012
NUDC,96.0,124.0,144.0,121.33333333333333,24.11085509336683
NUDCD1,48.0,107.0,,77.5,41.71930009000631
NUDCD2,80.5,107.0,162.5,116.66666666666667,41.84594763335314
NUDCD3,112.0,111.0,145.0,122.66666666666667,19.347695814575268
NUDT1,89.5,120.0,,104.75,21.5667568261897
NUDT11,,,153.5,153.5,
NUDT15,75.0,79.0,120.0,91.33333333333333,24.90649179096352
NUDT16,,,106.5,106.5,
NUDT16L1,125.5,,,125.5,
NUDT17,99.0,,,99.0,
NUDT2,86.0,,129.0,107.5,30.405591591021544
NUDT21,73.0,97.5,123.0,97.83333333333333,25.001666611114814
NUDT22,89.0,,,89.0,
NUDT3,,,172.0,172.0,
NUDT4,,,142.0,142.0,
NUDT5,78.0,101.0,144.0,107.66666666666667,33.50124375800596
NUDT7,,,179.0,179.0,
NUDT8,91.0,,,91.0,
NUDT9,,,145.5,145.5,
NUF2,,95.5,145.0,120.25,35.0017856687341
NUFIP2,,232.0,125.0,178.5,75.66042558696059
NUMA1,118.0,159.0,193.0,156.66666666666666,37.554404979087785
NUMB,,,168.0,168.0,
NUP107,,125.5,128.0,126.75,1.7677669529663689
NUP133,,,133.5,133.5,
NUP155,66.0,,,66.0,
NUP160,90.0,174.0,169.5,144.5,47.25198408532704
NUP188,119.0,116.0,146.0,127.0,16.522711641858304
NUP205,64.0,107.0,114.5,95.16666666666667,27.25038226031579
NUP214,,,123.0,123.0,
NUP37,72.0,108.0,131.0,103.66666666666667,29.737742572921256
NUP50,,,182.5,182.5,
NUP54,,91.0,116.0,103.5,17.67766952966369
NUP58,,,184.5,184.5,
NUP62,90.0,,,90.0,
NUP62CL,72.0,,,72.0,
NUP85,97.5,126.0,153.0,125.5,27.753378172755834
NUP88,57.0,92.5,113.0,87.5,28.33284313301438
NUP93,98.0,93.0,111.5,100.83333333333333,9.569918146637063
NUP98,,109.0,184.0,146.5,53.033008588991066
NUPL2,69.5,121.0,128.0,106.16666666666667,31.946569977594358
NUPR1,94.0,,,94.0,
NUS1,,118.0,166.0,142.0,33.94112549695428
NUSAP1,60.0,90.0,111.0,87.0,25.632011235952593
NUTF2,104.5,129.0,125.0,119.5,13.143439428094915
NVL,91.5,92.0,127.0,103.5,20.35313243704762
NXF1,100.0,130.5,211.0,147.16666666666666,57.34617104335156
NXT1,81.5,,,81.5,
OAF,,,81.5,81.5,
OARD1,85.0,,143.0,114.0,41.012193308819754
OAS1,83.0,,,83.0,
OASL,83.5,,,83.5,
OAT,89.0,117.0,168.0,124.66666666666667,40.05413004090007
OAZ1,114.5,,,114.5,
OAZ2,93.0,117.5,115.5,108.66666666666667,13.604533558095012
OBFC1,66.0,,119.0,92.5,37.476659402887016
OBSL1,,,161.5,161.5,
OCEL1,134.5,,,134.5,
OCIAD1,83.0,108.5,149.0,113.5,33.28287848128524
OCIAD2,60.5,103.0,,81.75,30.05203820042827
OCRL,,,115.0,115.0,
ODC1,101.0,,141.0,121.0,28.284271247461902
ODF2,119.0,,222.0,170.5,72.8319984622144
OGFOD1,96.5,106.0,142.0,114.83333333333333,24.001736048322282
OGFOD3,87.0,,,87.0,
OGFRL1,,,152.0,152.0,
OGG1,67.0,,100.0,83.5,23.33452377915607
OGT,163.0,284.0,255.0,234.0,63.17436188834834
OIP5,103.5,,,103.5,
OIP5-AS1,63.0,90.0,162.0,105.0,51.176166327695945
OLA1,62.5,85.5,94.0,80.66666666666667,16.296727687892847
OLFM1,98.0,,,98.0,
OLFML3,,116.5,98.0,107.25,13.08147545195113
OLMALINC,78.0,,,78.0,
OLR1,86.0,,,86.0,
OPA1,,,178.0,178.0,
OPN3,93.0,,,93.0,
OPTN,73.0,83.0,132.0,96.0,31.575306807693888
ORAI1,100.5,,,100.5,
ORAOV1,,,331.0,331.0,
ORC1,92.0,,,92.0,
ORC3,,90.5,99.5,95.0,6.363961030678928
ORC4,,101.0,98.0,99.5,2.1213203435596424
ORC5,76.0,132.0,101.0,103.0,28.053520278211074
ORC6,98.0,126.0,187.0,137.0,45.50824101193101
ORM1,,,151.0,151.0,
ORMDL1,91.0,102.0,154.0,115.66666666666667,33.6501609703926
ORMDL2,82.0,98.0,,90.0,11.313708498984761
ORMDL3,,130.5,,130.5,
OS9,94.0,138.5,127.0,119.83333333333333,23.09942279221135
OSBP,101.0,,145.0,123.0,31.11269837220809
OSBPL10,107.0,67.0,,87.0,28.284271247461902
OSBPL2,,,194.5,194.5,
OSBPL8,,,147.0,147.0,
OSBPL9,,163.5,176.5,170.0,9.192388155425117
OSCP1,,,84.0,84.0,
OSER1,82.5,95.5,104.0,94.0,10.828203913853857
OSGEP,61.0,128.0,196.5,128.5,67.75138374970655
OSGEPL1,,142.0,,142.0,
OSMR,90.5,,,90.5,
OST4,78.5,134.5,132.0,115.0,31.63463292026636
OSTC,69.0,92.0,96.0,85.66666666666667,14.571661996262929
OSTM1,,109.0,,109.0,
OTUB1,79.0,,,79.0,
OTUD4,,,174.0,174.0,
OTUD5,81.0,,93.0,87.0,8.48528137423857
OTUD6B-AS1,,,128.5,128.5,
OTULIN,,,120.5,120.5,
OTX2,,113.0,,113.0,
OXA1L,85.5,123.0,109.0,105.83333333333333,18.94949427645322
OXCT1,42.0,100.0,,71.0,41.012193308819754
OXLD1,117.0,,,117.0,
OXNAD1,,84.0,,84.0,
OXR1,,,159.0,159.0,
OXSM,77.5,,117.0,97.25,27.93071785686863
